,Team,Player,Games,Wins,Losses,Winrate,Kills,Deaths,Assists,KDA,CS,CSPM,Gold,GPM,Kill Participation,Kill Share,Gold Share,Champions Played,Position
41,JAG,Nova (Park Chan-ho),45,14,31,31.1,0.42,1.96,3.98,2.25,56.11,1.54,8.19,225,63.7,6.1,13.3,12,Supp
42,Hanwha_Life_Esports,Sangyoon,45,25,20,55.6,3.02,1.18,3.4,5.45,350.51,10.36,14.91,441,69.0,32.5,24.8,13,ADC
43,Hanwha_Life_Esports,SeongHwan,45,25,20,55.6,1.36,2.16,5.38,3.12,157.96,4.67,10.4,307,72.3,14.6,17.3,11,JG
44,JAG,SoHwan,45,14,31,31.1,1.16,1.69,3.09,2.5,327.44,8.99,13.71,377,61.4,16.7,22.2,14,Top
45,JAG,Teddy,45,14,31,31.1,2.31,1.58,2.53,3.07,388.07,10.66,15.28,420,70.1,33.4,24.8,14,ADC
46,Suning_Gaming,XiaoAL,45,24,21,53.3,3.07,1.73,5.78,5.09,320.98,9.23,14.42,415,64.5,22.4,22.7,15,Top
47,Suning_Gaming,Yoon,45,24,21,53.3,0.76,1.51,8.76,6.29,59.51,1.71,8.77,252,69.4,5.5,13.8,10,Supp
48,Gen.G,CoreJJ,44,28,16,63.6,0.41,1.64,5.93,3.88,49.66,1.44,8.29,240,73.8,4.8,13.4,10,Supp
49,JAG,Grace,44,14,30,31.8,1.82,1.73,2.86,2.71,329.41,9.07,13.54,373,66.2,25.7,22.0,17,Mid
50,Snake_Esports,Guoguo,44,19,25,43.2,2.59,1.98,4.11,3.39,272.57,8.17,12.05,361,65.8,25.4,20.6,16,Mid
51,Gen.G,Ruler,44,28,16,63.6,2.68,1.23,3.61,5.13,368.36,10.67,15.36,445,73.3,31.2,24.9,6,ADC
52,SKT1,Thal,44,20,24,45.5,2.02,2.27,3.2,2.29,328.68,9.42,14.08,404,58.4,22.6,22.7,17,Top
53,Kingzone_DragonX,Bdd,43,28,15,65.1,2.98,1.53,4.4,4.8,308.16,9.11,13.5,399,70.4,28.4,21.8,20,Mid
54,Bbq_Olivers,Crazy,43,9,34,20.9,1.53,1.88,2.6,2.2,292.21,8.49,12.3,357,60.3,22.4,21.7,14,Top
55,Gen.G,CuVee,43,28,15,65.1,1.67,1.72,3.58,3.05,326.86,9.4,13.93,401,60.4,19.3,22.4,10,Top
56,KTRolster,Deft,43,29,14,67.4,2.28,1.51,4.42,4.43,350.84,9.66,15.17,418,65.8,22.4,23.1,12,ADC
57,Kingzone_DragonX,GorillA,43,28,15,65.1,0.84,2.0,5.74,3.29,51.67,1.53,8.25,244,62.9,8.0,13.3,13,Supp
58,EDward_Gaming,IBoy,43,26,17,60.5,3.88,2.42,5.77,3.99,310.21,9.47,13.91,425,66.2,26.6,23.2,8,ADC
59,Bbq_Olivers,IgNar,43,9,34,20.9,0.56,1.74,4.14,2.69,62.91,1.83,7.98,232,68.5,8.1,14.1,12,Supp
60,Snake_Esports,Maestro,43,19,24,44.2,0.65,2.4,6.44,2.96,54.53,1.63,8.06,241,67.2,6.2,13.7,13,Supp
61,KTRolster,Mata,43,29,14,67.4,0.93,2.02,6.0,3.43,61.56,1.69,8.95,246,68.0,9.1,13.6,8,Supp
62,Kingzone_DragonX,PraY,43,28,15,65.1,2.42,1.49,4.09,4.38,348.7,10.3,14.56,430,62.2,23.1,23.6,10,ADC
63,Bbq_Olivers,Tempt,43,9,34,20.9,2.21,1.67,2.95,3.08,326.58,9.48,13.19,383,75.3,32.2,23.3,18,Mid
64,Lgd,Jinoo,42,21,21,50.0,2.79,2.81,4.76,2.69,262.93,8.28,12.29,387,56.7,20.9,21.8,16,Top
