,Champion,Bans,Games,Wins,Losses,Winrate,PB,By,Kills,Deaths,Assists,KDA,CS,CSPM,Gold,GPM,Kill Participation,Kill Share,Gold Share
55,Cassiopeia,0,3,0,3,0,3.9,2,1.67,1.67,0.33,1.20,350.33,10.2,13.2,384,60,50,23.8
56,Darius,2,0,0,0,,2.6,0,,,,,,,,,,,
57,Fiora,0,2,0,2,0,2.6,1,3,1.5,1.5,3.00,361,10.34,15.3,438,52.9,35.3,25.2
58,Pyke,2,0,0,0,,2.6,0,,,,,,,,,,,
59,Kalista,0,2,1,1,50,2.6,2,2.5,2.5,6.5,3.60,268,9.45,11.2,395,64.3,17.9,22.7
60,Hecarim,1,1,1,0,100,2.6,1,5,2,3,4.00,342,9.37,16.2,444,61.5,38.5,22.9
61,Ashe,0,1,0,1,0,1.3,1,2,2,8,5.00,440,10,17.8,405,55.6,11.1,23.8
62,Mordekaiser,0,1,0,1,0,1.3,1,0,3,3,1.00,249,7.49,10.1,304,75,0,20
63,Lulu,0,1,0,1,0,1.3,1,0,0,5,5.00,332,9.36,12.7,358,100,0,21.3
64,Trundle,0,1,0,1,0,1.3,1,0,5,5,1.00,129,3.92,8.6,261,62.5,0,15.8
65,Evelynn,0,1,0,1,0,1.3,1,0,1,2,2.00,129,5.13,7,278,66.7,0,18.9
66,Bard,0,1,0,1,0,1.3,1,1,2,2,1.50,26,0.8,6.9,213,75,25,14.5
67,Singed,0,1,1,0,100,1.3,1,5,1,7,12.00,324,9.84,14.2,431,70.6,29.4,22.5
68,Brand,0,1,0,1,0,1.3,1,5,5,7,2.40,376,8.61,18.3,419,66.7,27.8,22.4
69,Nidalee,0,1,0,1,0,1.3,1,0,4,3,0.75,129,5.25,6.9,281,60,0,18.8
70,Nami,0,1,0,1,0,1.3,1,0,3,1,0.33,10,0.44,4.1,179,20,0,12
71,Kled,0,1,1,0,100,1.3,1,2,1,7,9.00,234,8.56,10.8,395,45,10,19.6
72,Kassadin,0,1,0,1,0,1.3,1,0,3,1,0.33,204,7.22,8.3,294,20,0,19.6
73,Elise,0,1,0,1,0,1.3,1,0,2,4,2.00,107,3.91,6.7,245,100,0,17.4
74,Ahri,0,1,1,0,100,1.3,1,3,3,7,3.33,267,8.97,12.4,417,71.4,21.4,21.2
75,Rek'Sai,0,1,1,0,100,1.3,1,10,3,8,6.00,210,6.01,15.4,441,66.7,37,21.2
